datime,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,周期,Y
2024-03-01 14:15:00,,,,,,,0.0,,,,,,0.0,
2024-03-01 14:30:00,7.084024,390.0172,50.112,33.16875,94.04124,10893.97,0.0,0.0,,,,,0.0,
2024-03-01 15:00:00,7.052619,389.4666,50.112,32.925,92.97919,10400.28,0.0,0.0,,,,,0.0,
2024-03-01 15:15:00,,,,,,,,,,,,,1.0,
2024-03-01 15:30:00,7.020898,389.0261,50.112,33.1875,88.48795,11146.13,0.0,0.0,,,,,1.0,
2024-03-01 16:00:00,6.999796,388.6957,50.112,32.8875,90.16159,13586.19,0.0,0.0,,,,,1.0,
2024-03-01 16:15:00,,,,,,,,,,,,,2.0,
2024-03-01 16:30:00,6.98889,389.0811,54.144,33.20625,87.83601,13770.85,0.0,0.0,,,,,2.0,
2024-03-01 17:00:00,6.97839,388.916,56.148,32.86875,89.09743,16107.16,0.0,0.0,,,,,2.0,
2024-03-01 17:15:00,,,,,,,,,,,,,3.0,
2024-03-01 17:30:00,6.97839,389.0811,60.144,33.1125,89.69492,15969.94,0.0,0.0,,,,,3.0,
2024-03-01 18:00:00,6.989511,388.4204,64.188,33.05625,88.33653,18592.26,0.0,0.0,,,,,3.0,
2024-03-01 18:15:00,,,,,,,,,,,,,4.0,
2024-03-01 18:30:00,7.024262,389.0261,68.23199,32.98125,87.78916,22509.02,0.0,0.0,,,,,4.0,
2024-03-01 19:00:00,7.111857,387.9799,72.228,33.09375,82.73078,24208.51,0.0,0.0,,,,,4.0,
2024-03-01 19:15:00,,,,,,,,,,,,,5.0,
2024-03-01 19:30:00,7.215219,388.4755,76.248,33.1125,83.44324,26074.27,0.0,0.0,,,,,5.0,
2024-03-01 20:00:00,7.311317,388.09,80.292,33.0375,81.29665,26858.93,0.0,0.0,,,,,5.0,
2024-03-01 20:15:00,,,,,,,,,,,,,6.0,
2024-03-01 20:30:00,7.364938,387.4843,84.36,32.9625,79.17311,30341.37,0.0,0.0,,,,,6.0,
2024-03-01 21:00:00,7.397995,386.7134,88.368,33.13125,77.71595,31428.02,0.0,0.0,,,,,6.0,
2024-03-01 21:15:00,,,,,,,,,,,,,7.0,
2024-03-01 21:30:00,7.409345,385.2818,91.38,33.01875,71.26969,33458.13,0.0,0.0,,,,,7.0,
2024-03-01 22:00:00,7.396624,385.0616,93.408,33.01875,67.85525,34704.64,0.0,0.0,,,,,7.0,
2024-03-01 22:15:00,,,,,,,,,34.0,11.0,,,8.0,
2024-03-01 22:30:00,7.386428,384.7863,95.424,33.01875,66.49018,35697.74,0.0,0.0,,,,,8.0,
2024-03-01 23:00:00,7.386428,383.5749,96.024,33.01875,63.12125,35841.79,0.0,0.0,,,,,8.0,
2024-03-01 23:15:00,,,,,,,,,,,,,9.0,
2024-03-01 23:30:00,7.457606,382.9692,96.024,33.13125,60.68419,35592.89,0.0,0.0,,,,,9.0,
2024-03-02 00:00:00,7.542185,383.4648,96.024,33.0,60.91799,35611.44,0.0,0.0,,,,,9.0,
2024-03-02 00:15:00,,,,,,,,,,,,,10.0,
2024-03-02 00:30:00,7.629825,382.7489,96.024,33.0375,58.83427,35364.04,0.0,0.0,,,,,10.0,
2024-03-02 01:00:00,7.620112,381.7028,96.024,33.15,54.30939,36841.28,186.2452,600.0,,,,,10.0,
2024-03-02 01:15:00,,,,,,,,,,,,,11.0,
2024-03-02 01:30:00,7.620112,382.3084,96.024,32.94375,54.19127,35862.88,486.3326,600.0,,,,,11.0,
2024-03-02 02:00:00,7.620112,382.6939,96.024,33.05625,52.22986,36495.65,784.8386,600.0,,,,,11.0,
2024-03-02 02:15:00,,,,,,,,,,,,,12.0,
2024-03-02 02:30:00,7.609003,382.9692,96.024,33.075,51.56822,36269.9,1085.233,600.0,,,,,12.0,
2024-03-02 03:00:00,7.620012,380.7667,96.024,33.0375,49.82057,35958.13,1385.176,600.0,,,,,12.0,
2024-03-02 03:15:00,,,,,,,,,,,,,13.0,
2024-03-02 03:30:00,7.620012,381.4825,96.024,33.0375,51.43198,36125.85,1713.261,700.0,,,,,13.0,
2024-03-02 04:00:00,7.630525,382.5837,96.024,33.05625,52.27345,36687.2,2063.13,700.0,,,,,13.0,
2024-03-02 04:15:00,,,,,,,,,,,,,14.0,
2024-03-02 04:30:00,7.64162,382.2534,96.024,33.05625,50.88909,36855.39,2428.29,800.0,,,,,14.0,
2024-03-02 05:00:00,7.630768,381.4825,96.024,33.01875,50.04932,35647.51,2827.122,800.0,,,,,14.0,
2024-03-02 05:15:00,,,,,,,,,,,,,15.0,
2024-03-02 05:30:00,7.630768,381.6477,96.024,33.05625,49.45092,36533.8,3241.194,900.0,,,,,15.0,
2024-03-02 06:00:00,7.620714,382.0882,96.024,33.16875,49.66212,36138.67,3688.18,900.0,,,,,15.0,
2024-03-02 06:15:00,,,,,,,,,,,,,16.0,
2024-03-02 06:30:00,7.620714,380.7116,96.024,33.1125,47.48448,35667.03,4142.041,1000.0,,,,,16.0,
2024-03-02 07:00:00,7.610323,380.7667,96.024,33.05625,49.01135,36371.26,4640.239,1000.0,,,,,16.0,
2024-03-02 07:15:00,,,,,,,,,,,,,17.0,
2024-03-02 07:30:00,7.599483,381.042,96.024,33.16875,47.72124,36404.17,5154.202,1050.0,,,,,17.0,
2024-03-02 08:00:00,7.588436,381.7578,96.024,33.075,48.65654,36664.46,5678.908,1050.0,,,,,17.0,
2024-03-02 08:15:00,,,,,,,,,,,,,18.0,
2024-03-02 08:30:00,7.608893,381.2623,96.024,33.0375,51.40511,37881.66,6230.277,1150.0,,,,,18.0,
2024-03-02 09:00:00,7.565486,381.2072,96.024,33.15,46.75847,38640.62,6791.868,1150.0,,,,,18.0,
2024-03-02 09:15:00,,,,,,,,,,,,,19.0,
2024-03-02 09:30:00,7.554755,381.097,96.024,33.09375,45.86268,37617.67,7370.048,1200.0,,,,,19.0,
2024-03-02 10:00:00,7.544418,382.2534,96.024,33.1875,42.02018,37776.79,7970.63,1200.0,,,,,19.0,
2024-03-02 10:15:00,,,,,,,,,64.0,44.0,,,20.0,
2024-03-02 10:30:00,7.535594,381.4274,96.024,33.01875,42.65097,39362.14,8291.588,1250.0,,,,,20.0,
2024-03-02 11:00:00,7.535594,382.0882,96.024,33.0375,43.65691,39245.08,8291.588,1250.0,,,,,20.0,
2024-03-02 11:15:00,,,,,,,,,,,,,21.0,
2024-03-02 11:30:00,7.51451,381.7028,96.024,33.075,41.06377,39679.63,8291.588,1250.0,,,,,21.0,
2024-03-02 12:00:00,7.504023,381.2072,96.024,33.05625,39.86732,39982.06,8291.588,1250.0,,,,,21.0,
2024-03-02 12:15:00,,,,,,,,,,,,,22.0,
2024-03-02 12:30:00,7.493612,381.4825,96.024,33.075,41.88282,39160.27,8291.588,1250.0,,,,,22.0,
2024-03-02 13:00:00,7.483005,379.5553,96.024,33.05625,41.89814,39191.86,8601.008,1250.0,,,,,22.0,
2024-03-02 13:15:00,,,,,,,,,,,,,23.0,
2024-03-02 13:30:00,7.472603,380.161,96.024,33.0375,41.13929,39360.39,9222.95,1250.0,,,,,23.0,
2024-03-02 14:00:00,7.451481,382.0331,96.024,33.01875,38.72394,39849.93,9847.844,1250.0,,,,,23.0,
2024-03-02 14:15:00,,,,,,,,,,,,,24.0,
2024-03-02 14:30:00,7.429979,380.3262,96.024,33.01875,39.10582,38831.54,10472.8,1250.0,,,,,24.0,
2024-03-02 15:00:00,7.397447,381.5927,96.024,33.1875,36.7942,39310.79,11096.81,1250.0,,,,,24.0,
2024-03-02 15:15:00,,,,,,,,,,,,,25.0,
2024-03-02 15:30:00,7.387,381.3724,96.024,32.9625,38.53516,39973.67,11721.2,1250.0,,,,,25.0,
2024-03-02 16:00:00,7.355261,382.6388,96.024,33.1125,37.74766,39681.84,12331.19,1250.0,,,,,25.0,
2024-03-02 16:15:00,,,,,,,,,,,,,26.0,
2024-03-02 16:30:00,7.334364,381.7028,96.024,33.05625,37.10575,38994.56,12948.5,1250.0,,,,,26.0,
2024-03-02 17:00:00,7.302877,381.4274,96.024,33.13125,35.44046,38885.73,13575.55,1250.0,,,,,26.0,
2024-03-02 17:15:00,,,,,,,,,,,,,27.0,
2024-03-02 17:30:00,7.272394,381.8129,96.024,33.075,36.08091,39490.07,14199.5,1250.0,,,,,27.0,
2024-03-02 18:00:00,7.251975,383.1344,96.024,32.9625,35.62376,39320.06,14824.0,1250.0,,,,,27.0,
2024-03-02 18:15:00,,,,,,,,,,,,,28.0,
2024-03-02 18:30:00,7.230719,383.2445,96.024,33.09375,33.49224,39595.67,15448.84,1250.0,,,,,28.0,
2024-03-02 19:00:00,7.230719,382.2534,96.024,33.09375,31.15594,39601.89,16073.2,1250.0,,,,,28.0,
2024-03-02 19:15:00,,,,,,,,,,,,,29.0,
