datime,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,周期,Y
2023-07-01 15:11:00,,,,,,,0.0,,,,,,0.0,
2023-07-01 15:30:00,6.660673,392.6051,50.088,32.90625,90.74985,14838.04,0.0,0.0,,,,,0.0,
2023-07-01 16:00:00,6.629025,393.2108,52.104,33.1125,90.08368,13537.55,0.0,0.0,,,,,0.0,
2023-07-01 16:11:00,,,,,,,,,,,,,1.0,
2023-07-01 16:30:00,6.586612,393.1007,55.116,32.94375,86.94118,14711.81,0.0,0.0,,,,,1.0,
2023-07-01 17:00:00,6.563059,392.7152,58.128,33.1125,87.80915,15886.7,0.0,0.0,,,,,1.0,
2023-07-01 17:11:00,,,,,,,,,,,,,2.0,
2023-07-01 17:30:00,6.541591,391.5039,62.16,32.9625,89.20856,16966.43,0.0,0.0,,,,,2.0,
2023-07-01 18:00:00,6.541591,391.9444,65.172,33.075,88.33566,18229.08,0.0,0.0,,,,,2.0,
2023-07-01 18:11:00,,,,,,,,,,,,,3.0,
2023-07-01 18:30:00,6.551954,391.8343,67.188,33.0375,85.16068,19763.05,0.0,0.0,,,,,3.0,
2023-07-01 19:00:00,6.642659,391.7792,69.216,32.925,86.70518,22228.26,0.0,0.0,,,,,3.0,
2023-07-01 19:11:00,,,,,,,,,,,,,4.0,
2023-07-01 19:30:00,6.772296,391.6691,70.236,33.09375,82.44074,23892.63,0.0,0.0,,,,,4.0,
2023-07-01 20:00:00,6.917511,391.1184,76.272,32.925,84.5563,24819.97,0.0,0.0,,,,,4.0,
2023-07-01 20:11:00,,,,,,,,,,,,,5.0,
2023-07-01 20:30:00,7.045008,390.8982,80.28,33.09375,79.16538,28148.38,0.0,0.0,,,,,5.0,
2023-07-01 21:00:00,7.16181,390.733,82.308,32.98125,76.31973,29456.87,0.0,0.0,,,,,5.0,
2023-07-01 21:11:00,,,,,,,,,,,,,6.0,
2023-07-01 21:30:00,7.215194,390.7881,88.368,33.0375,72.49596,30216.37,0.0,0.0,,,,,6.0,
2023-07-01 22:00:00,7.236819,395.5234,93.384,33.09375,70.6673,33009.48,0.0,0.0,,,,,6.0,
2023-07-01 22:11:00,,,,,,,,,30.0,6.0,,,7.0,
2023-07-01 22:30:00,7.258778,395.0279,95.424,32.98125,61.47667,34686.25,0.0,0.0,,,,,7.0,
2023-07-01 23:00:00,7.258778,395.0279,96.42,32.98125,65.94233,35743.45,0.0,0.0,,,,,7.0,
2023-07-01 23:11:00,,,,,,,,,,,,,8.0,
2023-07-01 23:30:00,7.365325,394.7526,96.42,32.94375,60.02703,36941.61,0.0,0.0,,,,,8.0,
2023-07-02 00:00:00,7.466693,395.1931,96.42,33.1125,60.54436,37005.97,0.0,0.0,,,,,8.0,
2023-07-02 00:11:00,,,,,,,,,,,,,9.0,
2023-07-02 00:30:00,7.608687,393.9817,96.42,33.075,61.1388,36951.0,0.0,0.0,,,,,9.0,
2023-07-02 01:00:00,7.697102,393.7064,96.42,33.01875,62.39388,36603.64,0.0,0.0,,,,,9.0,
2023-07-02 01:11:00,,,,,,,,,,,,,10.0,
2023-07-02 01:30:00,7.608768,392.3849,96.42,33.0,56.1098,37619.75,140.4822,600.0,,,,,10.0,
2023-07-02 02:00:00,7.586597,393.4311,96.42,33.0,58.45734,36236.98,448.2733,600.0,,,,,10.0,
2023-07-02 02:11:00,,,,,,,,,,,,,11.0,
2023-07-02 02:30:00,7.575754,392.6051,96.42,33.0,49.22648,37344.7,748.5615,600.0,,,,,11.0,
2023-07-02 03:00:00,7.563412,391.3387,96.42,33.0,55.13359,37082.0,1048.913,600.0,,,,,11.0,
2023-07-02 03:11:00,,,,,,,,,,,,,12.0,
2023-07-02 03:30:00,7.551752,391.614,96.42,32.925,48.33721,37200.14,1349.219,600.0,,,,,12.0,
2023-07-02 04:00:00,7.561809,391.9444,96.42,32.9625,48.82558,37394.02,1648.13,600.0,,,,,12.0,
2023-07-02 04:11:00,,,,,,,,,,,,,13.0,
2023-07-02 04:30:00,7.561809,391.2285,96.42,32.9625,51.26781,36627.86,1976.874,700.0,,,,,13.0,
2023-07-02 05:00:00,7.572048,390.8982,96.42,32.94375,52.7896,36991.08,2323.937,700.0,,,,,13.0,
2023-07-02 05:11:00,,,,,,,,,,,,,14.0,
2023-07-02 05:30:00,7.572048,390.5128,96.42,33.05625,50.42407,36971.8,2704.827,800.0,,,,,14.0,
2023-07-02 06:00:00,7.582542,391.9994,96.42,33.01875,51.69963,36637.9,3104.571,800.0,,,,,14.0,
2023-07-02 06:11:00,,,,,,,,,,,,,15.0,
2023-07-02 06:30:00,7.582847,391.9444,96.42,33.0,46.01078,37140.57,3539.102,900.0,,,,,15.0,
2023-07-02 07:00:00,7.570251,391.7792,96.42,32.925,45.42226,36876.05,3989.656,900.0,,,,,15.0,
2023-07-02 07:11:00,,,,,,,,,,,,,16.0,
2023-07-02 07:30:00,7.549963,392.3849,96.42,33.01875,45.45553,37419.43,4463.21,1000.0,,,,,16.0,
2023-07-02 08:00:00,7.549963,391.2836,96.42,33.075,46.97457,36757.5,4958.455,1000.0,,,,,16.0,
2023-07-02 08:11:00,,,,,,,,,,,,,17.0,
2023-07-02 08:30:00,7.536817,392.9355,96.42,33.075,43.06395,37082.21,5474.148,1050.0,,,,,17.0,
2023-07-02 09:00:00,7.515319,392.2747,96.42,32.98125,45.18642,37334.87,5998.817,1050.0,,,,,17.0,
2023-07-02 09:11:00,,,,,,,,,,,,,18.0,
2023-07-02 09:30:00,7.493176,390.2374,96.42,32.925,38.98704,38287.14,6558.348,1150.0,,,,,18.0,
2023-07-02 10:00:00,7.481777,391.6691,96.42,33.075,42.89851,38031.06,7133.804,1150.0,,,,,18.0,
2023-07-02 10:11:00,,,,,,,,,58.0,19.0,,,19.0,
2023-07-02 10:30:00,7.471285,391.7792,96.42,33.01875,36.66677,38416.25,7710.397,1200.0,,,,,19.0,
2023-07-02 11:00:00,7.449936,391.1184,96.42,32.925,38.24771,37825.36,8302.404,1200.0,,,,,19.0,
2023-07-02 11:11:00,,,,,,,,,,,,,20.0,
2023-07-02 11:30:00,7.449936,391.7792,96.42,33.09375,32.894,38741.03,8915.576,1250.0,,,,,20.0,
2023-07-02 12:00:00,7.439239,392.9906,96.42,33.0,36.43644,39511.24,9541.015,1250.0,,,,,20.0,
2023-07-02 12:11:00,,,,,,,,,,,,,21.0,
2023-07-02 12:30:00,7.426923,392.7152,96.42,33.05625,33.03889,39051.99,10164.91,1250.0,,,,,21.0,
2023-07-02 13:00:00,7.416106,392.7703,96.42,33.0375,35.0055,39143.57,10789.98,1250.0,,,,,21.0,
2023-07-02 13:11:00,,,,,,,,,,,,,22.0,
2023-07-02 13:30:00,7.404753,392.8254,96.42,32.9625,27.81935,39342.32,11407.8,1250.0,,,,,22.0,
2023-07-02 14:00:00,7.394063,394.9728,96.42,32.9625,34.60912,38865.18,12019.39,1250.0,,,,,22.0,
2023-07-02 14:11:00,,,,,,,,,,,,,23.0,
2023-07-02 14:30:00,7.372778,393.9266,96.42,33.0375,29.7949,39062.98,12644.29,1250.0,,,,,23.0,
2023-07-02 15:00:00,7.350461,394.4222,96.42,32.94375,29.78578,38801.68,13268.39,1250.0,,,,,23.0,
2023-07-02 15:11:00,,,,,,,,,,,,,24.0,
2023-07-02 15:30:00,7.340437,394.9178,96.42,33.075,32.68193,39115.78,13887.19,1200.0,,,,,24.0,
2023-07-02 16:00:00,7.338454,395.1931,96.42,32.9625,33.8976,39942.77,14490.2,1200.0,,,,,24.0,
2023-07-02 16:11:00,,,,,,,,,,,,,25.0,
2023-07-02 16:30:00,7.307054,396.4044,96.42,33.0375,31.58347,37902.73,15089.46,1200.0,,,,,25.0,
2023-07-02 17:00:00,7.28582,395.6886,96.42,33.0,35.05433,38647.16,15674.2,1200.0,,,,,25.0,
2023-07-02 17:11:00,,,,,,,,,,,,,26.0,
2023-07-02 17:30:00,7.28582,395.1931,96.42,32.94375,31.74837,38946.46,16269.79,1200.0,,,,,26.0,
2023-07-02 18:00:00,7.28582,395.5785,96.42,33.09375,29.85686,39379.8,16869.6,1200.0,,,,,26.0,
2023-07-02 18:11:00,,,,,,,,,,,,,27.0,
2023-07-02 18:30:00,7.273454,395.7988,96.42,32.94375,27.62997,39198.15,17470.77,1200.0,,,,,27.0,
2023-07-02 19:00:00,7.273454,395.8538,96.42,33.09375,28.81067,39242.04,18066.96,1150.0,,,,,27.0,
2023-07-02 19:11:00,,,,,,,,,,,,,28.0,
2023-07-02 19:30:00,7.273454,394.9178,96.42,32.9625,31.01846,39584.67,18641.01,1150.0,,,,,28.0,
2023-07-02 20:00:00,7.273454,397.3956,96.42,32.9625,27.00705,39246.13,19204.64,1150.0,,,,,28.0,
2023-07-02 20:11:00,,,,,,,,,,,,,29.0,
2023-07-02 20:30:00,7.273454,396.2393,96.42,33.0,27.91296,38952.84,19770.1,1150.0,,,,,29.0,
2023-07-02 21:00:00,7.273454,396.1842,96.42,33.0375,27.72244,39125.76,20344.84,1150.0,,,,,29.0,
2023-07-02 21:11:00,,,,,,,,,,,,,30.0,
2023-07-02 21:30:00,7.273454,397.8911,96.42,32.98125,27.23268,39684.42,20919.3,1150.0,,,,,30.0,
2023-07-02 22:00:00,7.262531,396.019,96.42,33.01875,23.17001,39118.45,21494.58,1150.0,,,,,30.0,
2023-07-02 22:11:00,,,,,,,,,66.0,96.0,,,31.0,
2023-07-02 22:30:00,7.262531,396.9551,96.42,33.0,26.81439,38080.64,22061.42,1100.0,,,,,31.0,
2023-07-02 23:00:00,7.273008,396.9551,96.42,32.26875,24.51643,39832.02,22599.36,1100.0,,,,,31.0,
2023-07-02 23:11:00,,,,,,,,,,,,,32.0,
2023-07-02 23:30:00,7.262769,396.3494,96.42,32.68125,23.94965,38652.83,23144.75,1100.0,,,,,32.0,
2023-07-03 00:00:00,7.262769,396.7899,96.42,32.26875,28.64497,38813.75,23707.69,1100.0,,,,,32.0,
2023-07-03 00:11:00,,,,,,,,,,,,,33.0,
2023-07-03 00:30:00,7.252049,395.6335,96.42,32.11875,28.82358,39050.23,24244.38,1100.0,,,,,33.0,
2023-07-03 01:00:00,7.24166,396.5696,96.42,32.3625,27.92121,38820.71,24794.19,1100.0,,,,,33.0,
2023-07-03 01:11:00,,,,,,,,,,,,,34.0,
2023-07-03 01:30:00,7.252976,398.0013,96.42,32.04375,28.5221,39421.87,25346.68,1100.0,,,,,34.0,
2023-07-03 02:00:00,7.252976,395.7437,96.42,32.15625,28.1927,39635.94,25895.26,1100.0,,,,,34.0,
2023-07-03 02:11:00,,,,,,,,,,,,,35.0,
2023-07-03 02:30:00,7.242202,396.5146,96.42,32.4375,28.527,38553.05,26428.45,1100.0,,,,,35.0,
2023-07-03 03:00:00,7.242202,395.9089,96.42,32.60625,27.06831,38989.32,26979.95,1100.0,,,,,35.0,
2023-07-03 03:11:00,,,,,,,,,,,,,36.0,
2023-07-03 03:30:00,7.230551,396.2943,96.42,32.25,29.25688,39618.22,27530.49,1100.0,,,,,36.0,
2023-07-03 04:00:00,7.220345,396.6797,96.42,32.25,25.16824,38617.97,28079.39,1100.0,,,,,36.0,
2023-07-03 04:11:00,,,,,,,,,,,,,37.0,
2023-07-03 04:30:00,7.220345,397.781,96.42,32.25,26.63866,39521.37,28627.7,1100.0,,,,,37.0,
2023-07-03 05:00:00,7.220345,397.7259,96.42,32.475,32.19561,39960.95,29177.6,1100.0,,,,,37.0,
2023-07-03 05:11:00,,,,,,,,,,,,,38.0,
2023-07-03 05:30:00,7.220345,397.3405,96.42,32.60625,31.27049,39119.4,29715.22,1100.0,,,,,38.0,
2023-07-03 06:00:00,7.209186,396.019,96.42,32.775,29.09171,39702.58,30259.16,1100.0,,,,,38.0,
2023-07-03 06:11:00,,,,,,,,,,,,,39.0,
2023-07-03 06:30:00,7.187049,397.1202,96.42,32.75625,27.30704,38844.62,30809.23,1100.0,,,,,39.0,
2023-07-03 07:00:00,7.187049,397.6158,96.42,32.6625,30.70656,39863.03,31359.29,1100.0,,,,,39.0,
2023-07-03 07:11:00,,,,,,,,,,,,,40.0,
2023-07-03 07:30:00,7.175512,398.3316,96.42,33.0375,28.48784,39831.24,31909.77,1100.0,,,,,40.0,
2023-07-03 08:00:00,7.165015,397.9462,96.42,33.0375,25.43554,38595.73,32456.72,1100.0,,,,,40.0,
2023-07-03 08:11:00,,,,,,,,,,,,,41.0,
2023-07-03 08:30:00,7.165015,396.7348,96.42,32.94375,28.04877,39966.46,32997.75,1100.0,,,,,41.0,
2023-07-03 09:00:00,7.154015,398.662,96.42,32.55,25.83378,39153.43,33546.8,1100.0,,,,,41.0,
2023-07-03 09:11:00,,,,,,,,,,,,,42.0,
2023-07-03 09:30:00,7.133276,398.7171,96.42,32.775,27.57921,39330.08,34082.42,1100.0,,,,,42.0,
2023-07-03 10:00:00,7.087545,398.8822,96.42,33.1875,23.67638,39864.49,34522.18,1100.0,,,,,42.0,
2023-07-03 10:11:00,,,,,,,,,68.0,129.0,2363.0,1727.0,43.0,
2023-07-03 10:30:00,7.119773,399.3778,96.42,32.86875,27.55733,38785.45,34522.18,1000.0,,,,,43.0,
2023-07-03 11:00:00,7.129957,398.0563,96.42,32.98125,30.17499,38864.99,34522.18,1000.0,,,,,43.0,
2023-07-03 11:11:00,,,,,,,,,,,,,44.0,
2023-07-03 11:30:00,7.128173,399.8734,96.42,33.05625,27.12897,38824.93,34522.18,1000.0,,,,,44.0,
2023-07-03 12:00:00,7.117567,399.9835,96.42,32.94375,29.04635,38673.55,34522.18,1000.0,,,,,44.0,
2023-07-03 12:11:00,,,,,,,,,,,,,45.0,
2023-07-03 12:30:00,7.106759,399.5981,96.42,33.01875,29.15478,38845.64,34522.18,1000.0,,,,,45.0,
2023-07-03 13:00:00,7.096258,399.9284,96.42,33.01875,30.85897,38531.14,34522.18,1000.0,,,,,45.0,
2023-07-03 13:11:00,,,,,,,,,,,,,46.0,
2023-07-03 13:30:00,7.085853,401.0297,96.42,32.9625,32.96742,39259.78,34522.18,1000.0,,,,,46.0,
2023-07-03 14:00:00,7.075775,400.8645,96.42,33.0375,30.8189,37791.91,34522.18,1100.0,,,,,46.0,
2023-07-03 14:11:00,,,,,,,,,,,,,47.0,
2023-07-03 14:30:00,7.053857,400.6443,96.42,33.0,27.59245,38819.41,34949.82,1050.0,,,,,47.0,
2023-07-03 15:00:00,7.02175,402.3512,96.42,32.98125,29.48709,39749.75,35496.02,1100.0,,,,,47.0,
2023-07-03 15:11:00,,,,,,,,,,,,,48.0,
2023-07-03 15:30:00,7.000072,402.3512,96.42,32.98125,25.87371,38211.97,36045.29,1100.0,,,,,48.0,
2023-07-03 16:00:00,6.968852,403.3423,96.42,33.01875,28.85087,37732.55,36594.08,1100.0,,,,,48.0,
2023-07-03 16:11:00,,,,,,,,,,,,,49.0,
2023-07-03 16:30:00,6.945825,403.8379,96.42,33.0,29.5388,37618.63,37115.31,1100.0,,,,,49.0,
2023-07-03 17:00:00,6.945825,404.3334,96.42,33.01875,31.67306,38151.78,37603.01,1062.646,,,,,49.0,
2023-07-03 17:11:00,,,,,,,,,,,,,50.0,
2023-07-03 17:30:00,6.945825,402.5714,96.42,32.9625,32.55155,37748.04,38087.42,988.5853,,,,,50.0,
2023-07-03 18:00:00,6.945825,404.3885,96.42,33.0375,34.20528,37106.2,38572.54,966.323,,,,,50.0,
2023-07-03 18:11:00,,,,,,,,,,,,,51.0,
