feature,coef
y1_t1 y3_t6,0.42755236860329987
y1_t0 y3_t7,0.42755236860329987
y1_t0 y3_t6,0.42755236860329987
y1_t1 y3_t7,0.42755236860329987
y4_t1,-0.4231271055857724
y4_t0,-0.4231271055857724
y2_t2 y3_t6,0.4188952708105889
y2_t3 y3_t6,0.4188952708105889
y2_t3 y3_t7,0.4188952708105889
y2_t2 y3_t7,0.4188952708105889
y4_t5 y2_t7,-0.4126870671611225
y4_t4 y2_t6,-0.4126870671611225
y4_t5 y2_t6,-0.4126870671611225
y4_t4 y2_t7,-0.4126870671611225
y4_t0 y4_t1,0.4095529520862018
y4_t0^2,0.4095529520862018
y4_t1^2,0.4095529520862018
y4_t0 y2_t1,-0.3986940369647096
y2_t0 y4_t1,-0.3986940369647096
y2_t0 y4_t0,-0.3986940369647096
y2_t1 y4_t1,-0.39869403696470956
y1_t1 y1_t7,0.38218195530257654
y1_t1 y1_t6,0.38218195530257654
y1_t0 y1_t7,0.38218195530257654
y1_t0 y1_t6,0.38218195530257654
y4_t2 y4_t7,0.3770749362619469
y4_t3 y4_t6,0.3770749362619469
y4_t3 y4_t7,0.3770749362619469
y4_t2 y4_t6,0.3770749362619469
y1_t0 y3_t4,0.36076992254050483
y1_t0 y3_t5,0.36076992254050483
y1_t1 y3_t5,0.36076992254050483
y1_t1 y3_t4,0.36076992254050483
y4_t1 y3_t5,0.36031782486629343
y4_t0 y3_t4,0.36031782486629343
y4_t0 y3_t5,0.36031782486629343
y4_t1 y3_t4,0.36031782486629343
y4_t1 y4_t4,0.35642788112711
y4_t0 y4_t4,0.35642788112711
y4_t1 y4_t5,0.35642788112711
y4_t0 y4_t5,0.35642788112711
y3_t2 y1_t6,0.35270844219303593
y3_t3 y1_t7,0.35270844219303593
y3_t3 y1_t6,0.35270844219303593
y3_t2 y1_t7,0.3527084421930359
y2_t0 y1_t4,-0.34992321034726936
y2_t0 y1_t5,-0.34992321034726936
y2_t1 y1_t5,-0.34992321034726936
y2_t1 y1_t4,-0.34992321034726936
y1_t2 y4_t2,-0.34833536463524656
y1_t2 y4_t3,-0.34833536463524656
y1_t3 y4_t3,-0.34833536463524656
y4_t2 y1_t3,-0.34833536463524656
y1_t5^2,0.3377646874359206
y1_t4^2,0.3377646874359206
y1_t4 y1_t5,0.3377646874359206
y2_t2 y3_t4,0.3328640817452825
y2_t3 y3_t5,0.3328640817452825
y2_t2 y3_t5,0.3328640817452825
y2_t3 y3_t4,0.3328640817452825
y1_t0 y2_t3,0.31804653450019976
y1_t0 y2_t2,0.3180465345001997
y1_t1 y2_t2,0.3180465345001997
y1_t1 y2_t3,0.3180465345001997
y3_t1 y2_t7,-0.3094938398067631
y3_t1 y2_t6,-0.309493839806763
y3_t0 y2_t6,-0.309493839806763
y3_t0 y2_t7,-0.309493839806763
y1_t4 y1_t6,-0.30916945157570586
y1_t5 y1_t7,-0.30916945157570586
y1_t5 y1_t6,-0.30916945157570586
y1_t4 y1_t7,-0.30916945157570586
y1_t4 y2_t5,-0.3090680167490581
y1_t4 y2_t4,-0.3090680167490581
y2_t4 y1_t5,-0.3090680167490581
y1_t5 y2_t5,-0.3090680167490581
