feature,coef
y4,6.439960461168022
y1^2 y4,6.1714034262036925
y1^3,4.613598549556839
y3,3.785130699341305
y2^2 y4,3.7280861007214487
y1^2 y3,3.3567110509563016
y1 y4^2,3.331263830263852
y1,3.3038529168009383
y4^3,2.177736881382346
y1 y2,-2.0980686819001058
y1 y2 y4,2.0612729494781385
y1 y3,1.7896795225065794
y3^2,1.6985823584488509
y2^2 y3,1.6966180359018794
y1^2,-1.69369837725205
y2^2,-1.6351101398768633
y1 y3^2,1.4568645313029556
y3^3,-1.2713702341233535
y3 y4,1.0777043490434361
y3 y4^2,-0.9367733107112988
y1 y3 y4,0.7288322029569382
y2 y3^2,0.7065216747478896
y2^3,-0.6737060009968029
y1 y2 y3,0.599592172692385
y2 y3 y4,-0.5496490757479284
y4^2,-0.5379841925223863
y2 y4,-0.5183772027046927
y1 y4,-0.40703086356805
y3^2 y4,-0.2976309691506527
y2 y4^2,-0.2809863252965677
y2 y3,-0.264247604858235
y2,0.25917176967553457
y1 y2^2,0.17200155207482745
y1^2 y2,0.11341895752540476
1,0.0
