feature,coef
y1^3,4.275692832091621
y1^2 y4,4.203501032811627
y4,3.6894821456923506
y2^2 y4,2.949432796908904
y3,2.120750629391701
y1,1.9251006855265258
y1 y4^2,1.866056977051514
y1^2 y3,1.7323124819865636
y1 y2 y4,1.6444978285297485
y1 y2,-1.5450870128920018
y2^2 y3,1.5227588294813554
y1^2,-1.352281945982646
y4^3,1.2585169059630408
y1 y3,1.234233106839613
y2^2,-1.1128127960543164
y3^3,-1.0828044418495313
y2^3,-1.0185052015901448
y3^2,1.0177900414641519
y1 y3^2,0.8414083309108322
y2 y3 y4,-0.7402855358647964
y3 y4,0.6632208297762938
y1^2 y2,0.6099081174922031
y3 y4^2,-0.5341327366266813
y2 y4^2,-0.5198912603804073
y1 y2 y3,0.40199518530173256
y2 y4,-0.23011330199702382
y1 y2^2,0.20122950176389665
y4^2,-0.19559744131662252
y1 y3 y4,0.19024845942568158
y3^2 y4,-0.1756500357748736
y2 y3^2,0.16246952774751544
y1 y4,-0.08411425402563663
y2,0.07815178028672223
y2 y3,0.006749189402588864
1,0.0
