,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4
x1,1.0,-0.6409418044433952,0.42396855893941954,0.2378040464623506,-0.336444788701465,0.5248093188674664,-0.6504977172349997,0.32236618326254307,-0.3955448681896302,0.05390555159215952,-0.5828168219878193,-0.6140572301893593
x2,-0.6409418044433952,1.0,-0.2998233876830364,-0.33824459990998107,0.259758568479289,-0.45981424980019625,0.8498549849386624,-0.26779406411803414,0.5542461427292127,-0.2564829579320364,0.7170376414812452,0.7944360662470711
x3,0.42396855893941954,-0.2998233876830364,1.0,0.35221838941451267,-0.5197195423813867,0.764277898059232,-0.40479403600744684,0.5583619407998147,0.19752888759378887,0.3482515780601612,-0.6248621549592711,-0.7121580672103484
x4,0.2378040464623506,-0.33824459990998107,0.35221838941451267,1.0,-0.03262109756262781,0.23567759630545812,-0.553955189102726,0.029401650581283953,-0.2704004503234132,-0.11662956587542828,-0.5753656124325582,-0.4633339055756513
x5,-0.336444788701465,0.259758568479289,-0.5197195423813867,-0.03262109756262781,1.0,-0.7528782665876066,0.20400865979653332,-0.7281458037495402,-0.3318507770845078,-0.5599187462572285,0.657452822503906,0.7002136816046024
x6,0.5248093188674664,-0.45981424980019625,0.764277898059232,0.23567759630545812,-0.7528782665876066,1.0,-0.44418095349488634,0.7689722545342232,0.14629288447253103,0.5140755990136131,-0.9494383682994221,-0.9643225102038973
x7,-0.6504977172349997,0.8498549849386624,-0.40479403600744684,-0.553955189102726,0.20400865979653332,-0.44418095349488634,1.0,-0.17111696356363298,0.6241315189786059,-0.13997146924694132,0.9758129081440515,0.977726364010871
x8,0.32236618326254307,-0.26779406411803414,0.5583619407998147,0.029401650581283953,-0.7281458037495402,0.7689722545342232,-0.17111696356363298,1.0,0.40251730666722435,0.5658419979310844,-0.8069566862879589,-0.8101184067358846
y1,-0.3955448681896302,0.5542461427292127,0.19752888759378887,-0.2704004503234132,-0.3318507770845078,0.14629288447253103,0.6241315189786059,0.40251730666722435,1.0,0.3253338702825332,0.20276601989570542,0.43126895695523193
y2,0.05390555159215952,-0.2564829579320364,0.3482515780601612,-0.11662956587542828,-0.5599187462572285,0.5140755990136131,-0.13997146924694132,0.5658419979310844,0.3253338702825332,1.0,-0.626282398320087,-0.6511037290209526
y3,-0.5828168219878193,0.7170376414812452,-0.6248621549592711,-0.5753656124325582,0.657452822503906,-0.9494383682994221,0.9758129081440515,-0.8069566862879589,0.20276601989570542,-0.626282398320087,1.0,0.9956637302249007
y4,-0.6140572301893593,0.7944360662470711,-0.7121580672103484,-0.4633339055756513,0.7002136816046024,-0.9643225102038973,0.977726364010871,-0.8101184067358846,0.43126895695523193,-0.6511037290209526,0.9956637302249007,1.0
