,x1__last,x2__last,x3__last,x4__last,x5__last,x6__last,x7__last,x8__last,x1__mean,x2__mean,x3__mean,x4__mean,x5__mean,x6__mean,x7__mean,x8__mean,x1__delta,x2__delta,x3__delta,x4__delta,x5__delta,x6__delta,x7__delta,x8__delta,y1__mean,y2__mean,y3__mean,y4__mean,y1__last,y2__last,y3__last,y4__last,Y
x1__last,1.0,-0.12640296566356146,0.24311995150249152,0.22845271241985302,0.3066367268131291,0.35914217348382516,-0.152673153219251,0.23016451509295013,0.45757307894877114,-0.4744480838255661,0.260569956896209,-0.06713189407046104,-0.18796089412638356,0.18021243044771967,-0.21769511230863178,0.33461862946455856,0.1357281611178987,-0.04780370135410601,0.06002315038865003,0.2692767596095352,0.26048201256332715,0.2985452671598742,-0.152673153219251,0.22995454245546584,-0.2291889541283851,0.16561045377693476,-0.22925673322035192,-0.05986140585191167,-0.26731141384951007,-0.06758636961690714,-0.25062838177905733,-0.41759458524391585,-0.0318707724869161
x2__last,-0.12640296566356146,1.0,0.09560577653791087,0.05702697465521024,0.4234842348359929,0.39915469836942463,0.11084976509105618,-0.13184889827977941,-0.3394065998297064,0.3428434242876105,0.04281313727443571,0.18109435170845356,-0.017614272916439487,0.0663748445820908,0.06605927585390273,-0.1527222514876611,-0.0008580007740751148,0.9028526745435381,0.30286266025749786,0.08197706427105228,0.4090342357722379,0.5424320622092816,0.11084976509105618,-0.13201547341856476,0.360900606908759,0.0800076093158468,0.05129880531358191,0.2602321137292212,0.4713401113191215,0.24528545677501312,0.09593271374371894,0.4523553638917653,0.41073163343179153
x3__last,0.24311995150249152,0.09560577653791087,1.0,0.494807014200333,0.10299462098697218,0.5286890952052861,-0.3917158044425089,0.38170943157038306,0.3350938667557402,-0.4197320311655561,0.8302252936931468,0.22929346984200688,-0.5955116888638399,0.3697577211348451,-0.4630816558245668,0.3058449982197364,-0.10336293418441254,0.20969649427836048,0.6762593842148489,0.5128662976929015,0.111677321920982,0.4451846647916006,-0.3917158044425089,0.3817507940763427,-0.12118949456209388,0.4611337550497979,-0.6083313023351596,-0.5167301545341231,0.2633344210296612,0.38371125058133443,-0.5515039170499493,-0.7252856042079308,0.1539762900679402
x4__last,0.22845271241985302,0.05702697465521024,0.494807014200333,1.0,0.15045023833924057,0.4242576840330767,-0.47186210077893986,0.275478453677784,0.22397149155323753,-0.5012374299812786,0.4392353807960559,0.47965745695358203,-0.5226209326056994,0.27475398270371043,-0.5059051484355085,0.16000759830384487,-0.0852122205466984,0.2074516675798826,0.23896229442344483,0.9608554591911181,0.14048746888652944,0.2759348965078815,-0.47186210077893986,0.2755482337319032,-0.09445019596451214,0.41431826767921154,-0.6575126410082494,-0.4629079592274951,0.39899407769088235,0.35781522086427275,-0.6174311255390305,-0.5853186752940183,0.30982287227929217
x5__last,0.3066367268131291,0.4234842348359929,0.10299462098697218,0.15045023833924057,1.0,0.3869006784533909,0.0632702773337724,0.11483204756559111,-0.005922864056850779,-0.08248418333072492,-0.07325020763193203,-0.05885214355469161,-0.021269027093890714,0.08155030091393602,0.05813811630692953,0.010331723503476057,0.006478118117117676,0.4146047159158888,0.3218814477907138,0.21171702163015343,0.9727327711812631,0.36666622160052087,0.0632702773337724,0.1145765875015764,0.27049087873885086,0.11605786843968774,0.04903949759949567,0.16692664196424112,-0.03824445613833284,0.040675789277675664,0.05922310049936653,0.07859932243949591,-0.022521510701382943
x6__last,0.35914217348382516,0.39915469836942463,0.5286890952052861,0.4242576840330767,0.3869006784533909,1.0,-0.46725939273558703,0.3258390331457693,0.3310796638993186,-0.4529171198947078,0.5977460633518756,0.07398792078759898,-0.5107318517626702,0.27025632113563053,-0.5362202507397948,0.25583315913681676,-0.0624833035177054,0.5438602196802478,0.22388445986719593,0.4747765881900794,0.3868768209454168,0.8892034490947205,-0.46725939273558703,0.32572386241981666,-0.07689796894897563,0.511765944348727,-0.5896785519940426,-0.44242655971094924,0.38202133520729037,0.4842308526260194,-0.5637465218419923,-0.6849801018569557,0.287580906923372
x7__last,-0.152673153219251,0.11084976509105618,-0.3917158044425089,-0.47186210077893986,0.0632702773337724,-0.46725939273558703,1.0,-0.2138438228351652,-0.11917606078692822,0.6882114869362367,-0.5312711760607579,-0.17899677873753514,0.2721150642909769,-0.346364121150823,0.9736452435898705,0.2991475485870625,-0.07262639969188214,0.04871259350342616,0.05089562765235832,-0.5261581133844879,0.05683828252796836,-0.2310834889042178,1.0,-0.2137174780814911,0.49843559315735525,-0.2509292437178937,0.7829962622139504,0.6893734635807228,-0.12573293320744666,-0.33642283199964185,0.8577547142304274,0.9154973684496241,0.12418587439296118
x8__last,0.23016451509295013,-0.13184889827977941,0.38170943157038306,0.275478453677784,0.11483204756559111,0.3258390331457693,-0.2138438228351652,1.0,0.411815654973012,-0.44666684823657915,0.49892177840738483,-0.04374447632678067,-0.3808096198432838,0.2326508115721777,-0.31307716580504813,0.48420526489596416,0.037861999405553175,0.04429599508797764,0.05306835491882074,0.29608034455090915,0.10970533157930507,0.17474073570457085,-0.21384382283516523,0.9999993321230234,-0.29983823033764057,0.24440533570562123,-0.34045806501221154,-0.3890383230010378,0.058345828909528816,0.27621844243533566,-0.3153398043726918,-0.4751913007763244,-0.0007861445489910136
x1__mean,0.45757307894877114,-0.3394065998297064,0.3350938667557402,0.22397149155323753,-0.005922864056850779,0.3310796638993186,-0.11917606078692822,0.411815654973012,1.0,-0.5679221451549027,0.39257596374254017,-0.24707975568065063,-0.42459486689561526,-0.013522639209808325,-0.17178895847759074,0.7139951516056764,-0.13304855822967993,-0.11391735378165103,-0.022889622819782324,0.23945379391705757,0.004798524907370829,0.18051519721991047,-0.11917606078692868,0.4119806739094141,-0.20622697966538092,0.3770876078005979,-0.3492552599132869,-0.46178246027229974,-0.16614612313479463,-0.009838381559794291,-0.3143633781423633,-0.6346070914444175,-0.05782129766966143
x2__mean,-0.4744480838255661,0.3428434242876105,-0.4197320311655561,-0.5012374299812786,-0.08248418333072492,-0.4529171198947078,0.6882114869362367,-0.44666684823657915,-0.5679221451549027,1.0,-0.4671637779856222,0.025617150808925442,0.3022543250489677,-0.34823874032896873,0.7104069604381661,-0.19462214603341332,-0.014588697734934127,0.08273693665821397,0.07873775295498926,-0.5399415207593372,-0.03872406185360378,-0.1561119729359603,0.6882114869362359,-0.4465902386941808,0.4689891516143542,-0.32743438654228346,0.685073844203626,0.6427183573646125,0.1433604753076149,-0.11584036276505169,0.7371970644070368,0.8880961501988403,0.17870298523064873
