,y1,y2,y3,y4
y1,1.0,0.3258124312868969,0.2172333245931308,0.36762550261196436
y2,0.3258124312868969,1.0,-0.5625024528078928,-0.5796103393160624
y3,0.2172333245931308,-0.5625024528078928,1.0,0.9950569599234783
y4,0.36762550261196436,-0.5796103393160624,0.9950569599234783,1.0
