,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4
x1,1.0,-0.6565146401207896,0.48410036377776183,0.2832187842651448,-0.3792422081476711,0.6164692566504977,-0.6343427970032802,0.37567531871329707,-0.42857404978331437,-0.043846064160086066,-0.6647308017158419,-0.690182597673055
x2,-0.6565146401207896,1.0,-0.24504626425836457,-0.38156271996643104,0.2884997477195677,-0.42182127690738774,0.8884330990627878,-0.19721914987561787,0.6844733425408956,-0.06326263265776483,0.7194380897248417,0.7647005204234352
x3,0.48410036377776183,-0.24504626425836457,1.0,0.3047073629983311,-0.6599921142178352,0.9165044744329816,-0.37775473848367586,0.6774409906080391,0.14838230013500503,0.3378348592911404,-0.8618724341933792,-0.8479798869898367
x4,0.2832187842651448,-0.38156271996643104,0.3047073629983311,1.0,-0.008871760062561426,0.23432738245397897,-0.5411134902080664,0.0758889869396232,-0.4011913343039146,-0.09833017817959269,-0.6085090193465988,-0.5065396006329516
x5,-0.3792422081476711,0.2884997477195677,-0.6599921142178352,-0.008871760062561426,1.0,-0.7704577306707545,0.2669654999111292,-0.7645238419966217,-0.19910899552960734,-0.4990357935888911,0.7140348577178266,0.7612050887942315
x6,0.6164692566504977,-0.42182127690738774,0.9165044744329816,0.23432738245397897,-0.7704577306707545,1.0,-0.4681505846108633,0.7708773384172057,0.008226386677849272,0.36874558153377757,-0.9733775524607876,-0.971466945088884
x7,-0.6343427970032802,0.8884330990627878,-0.37775473848367586,-0.5411134902080664,0.2669654999111292,-0.4681505846108633,1.0,-0.2031569763199752,0.7113983271022456,-0.024778037657926036,0.9750639739809582,0.975280120218438
x8,0.37567531871329707,-0.19721914987561787,0.6774409906080391,0.0758889869396232,-0.7645238419966217,0.7708773384172057,-0.2031569763199752,1.0,0.28226006419999644,0.42615378091033995,-0.837608407107043,-0.8501409177491637
y1,-0.42857404978331437,0.6844733425408956,0.14838230013500503,-0.4011913343039146,-0.19910899552960734,0.008226386677849272,0.7113983271022456,0.28226006419999644,1.0,0.3135686200507505,0.414604143484355,0.5541293903639758
y2,-0.043846064160086066,-0.06326263265776483,0.3378348592911404,-0.09833017817959269,-0.4990357935888911,0.36874558153377757,-0.024778037657926036,0.42615378091033995,0.3135686200507505,1.0,-0.5060098131875078,-0.5121474906601001
y3,-0.6647308017158419,0.7194380897248417,-0.8618724341933792,-0.6085090193465988,0.7140348577178266,-0.9733775524607876,0.9750639739809582,-0.837608407107043,0.414604143484355,-0.5060098131875078,1.0,0.996137085070851
y4,-0.690182597673055,0.7647005204234352,-0.8479798869898367,-0.5065396006329516,0.7612050887942315,-0.971466945088884,0.975280120218438,-0.8501409177491637,0.5541293903639758,-0.5121474906601001,0.996137085070851,1.0
