,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4
x1,1.0,-0.6127074554019865,0.4429046908021385,0.24828170564456328,-0.4129890189220102,0.48199170103356176,-0.5943371248379813,0.34155291467187876,-0.35303992131953715,0.05148076001339955,-0.5537446705087917,-0.572877984472474
x2,-0.6127074554019865,1.0,-0.29215233902048765,-0.4116591323929539,0.36334499123607267,-0.38828294696485116,0.8710325171973844,-0.2040454394495396,0.5974892381072765,-0.17875711851445708,0.7482419400332604,0.7967895366647293
x3,0.4429046908021385,-0.29215233902048765,1.0,0.38206171994405763,-0.5520697484287328,0.7482105895694052,-0.40898471519922697,0.6169464954861653,0.2057469050633918,0.3612509895400907,-0.7476151911480119,-0.8057465444107738
x4,0.24828170564456328,-0.4116591323929539,0.38206171994405763,1.0,-0.044132551265568414,0.2663809308721557,-0.5953150100871315,0.07886245923937996,-0.35048996147552103,-0.08374734461919042,-0.6606954505882467,-0.619584692178943
x5,-0.4129890189220102,0.36334499123607267,-0.5520697484287328,-0.044132551265568414,1.0,-0.6812884988255202,0.28790614803224107,-0.7213207890937984,-0.20208151736894175,-0.5664245430113322,0.6251994129227039,0.6838722843194817
x6,0.48199170103356176,-0.38828294696485116,0.7482105895694052,0.2663809308721557,-0.6812884988255202,1.0,-0.3797163635546556,0.6256931292110107,0.14685436437801855,0.40415102692595095,-0.7290984311581377,-0.7245334040117785
x7,-0.5943371248379813,0.8710325171973844,-0.40898471519922697,-0.5953150100871315,0.28790614803224107,-0.3797163635546556,1.0,-0.16192702940991063,0.640479617804039,-0.10628965881120822,0.9734192320919617,0.977234654115173
x8,0.34155291467187876,-0.2040454394495396,0.6169464954861653,0.07886245923937996,-0.7213207890937984,0.6256931292110107,-0.16192702940991063,1.0,0.4070924868886733,0.5042503478095285,-0.7683873054177364,-0.7856821633520301
y1,-0.35303992131953715,0.5974892381072765,0.2057469050633918,-0.35048996147552103,-0.20208151736894175,0.14685436437801855,0.640479617804039,0.4070924868886733,1.0,0.3258124312868969,0.2172333245931308,0.36762550261196436
y2,0.05148076001339955,-0.17875711851445708,0.3612509895400907,-0.08374734461919042,-0.5664245430113322,0.40415102692595095,-0.10628965881120822,0.5042503478095285,0.3258124312868969,1.0,-0.5625024528078928,-0.5796103393160624
y3,-0.5537446705087917,0.7482419400332604,-0.7476151911480119,-0.6606954505882467,0.6251994129227039,-0.7290984311581377,0.9734192320919617,-0.7683873054177364,0.2172333245931308,-0.5625024528078928,1.0,0.9950569599234783
y4,-0.572877984472474,0.7967895366647293,-0.8057465444107738,-0.619584692178943,0.6838722843194817,-0.7245334040117785,0.977234654115173,-0.7856821633520301,0.36762550261196436,-0.5796103393160624,0.9950569599234783,1.0
